y_field,match,match_norm,game_date,question_number,question,question_type,target_team,target_player,line,crowd_percent,submitted_percent,result,actual_rbp,source_batch,has_market_context,favorite_team,underdog_team,favorite_win_prob,underdog_win_prob,favorite_gap,target_team_win_prob,target_is_favorite,target_is_underdog,target_is_neutral_or_unknown,target_role_bucket,match_total_over_2_5_prob,btts_prob,halftime_draw_prob,target_team_implied_strength,is_player_prop,is_team_prop,is_match_prop,is_compound_question,is_second_half_question,is_halftime_question,is_threshold_question,threshold_line,is_fouls_question,is_cards_question,is_sot_question,is_corners_question,is_offsides_question,is_goal_question,is_penalty_question,is_favorite_dominance_question,is_underdog_activity_question,target_player_present
0.39,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q6,Will the match be tied at halftime?,halftime_draw,nan,nan,,39,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,1
0.46,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q7,Will the match have 2 or fewer total goals?,match_total_under,nan,nan,,46,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.42,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q8,Will the second half have 2 or more total goals?,second_half_goals_over,nan,nan,,42,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0,0,1
0.45,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q9,Will Duckens Nazon have at least 1 shot on target?,player_sot_over,nan,nan,,45,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.64,Haiti vs Scotland,Haiti vs Scotland,2026-06-13,Q10,Will Scott McTominay have at least 1 shot on target?,player_sot_over,nan,nan,,64,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
0.53,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q1,Will Australia commit more fouls than Türkiye?,team_more_fouls,nan,nan,,53,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.62,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q2,Will Türkiye have more shots on target than Australia in the second half?,team_more_sot_2h,nan,nan,,62,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.48,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q3,Will Australia be caught offside 2 or more times?,team_offsides_over,nan,nan,,48,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.64,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q4,Will Türkiye finish with more corner kicks than Australia?,team_more_corners_full,nan,nan,,64,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1
0.41,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q5,Will Orkun Kökçü have at least 1 shot on target in the second half?,player_sot_2h_over,nan,nan,,41,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,1,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,1
0.38,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q6,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,nan,nan,,38,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.26,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q7,Will Australia win the match?,team_win,nan,nan,,26,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.6,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q8,Will Türkiye score in the second half?,team_score_2h,nan,nan,,60,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1
0.51,Australia vs Turkey,Australia vs Turkey,2026-06-14,Q9,Will there be 4 or more total cards shown?,total_cards_over,nan,nan,,51,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,1
0.39,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q1,Will Curaçao be caught offside 2 or more times?,team_offsides_over,nan,nan,,39,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.84,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q2,"In the second half, will Germany have more shots on target than Curaçao?",team_more_sot_2h,nan,nan,,84,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,1
0.66,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q3,Will Curaçao commit more fouls than Germany?,team_more_fouls,nan,nan,,66,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1
0.61,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q4,Will Curaçao receive more cards than Germany?,team_more_cards,nan,nan,,61,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1
0.54,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q5,Will Germany be caught offside 2 or more times?,team_offsides_over,nan,nan,,54,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1
0.92,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q6,Will Germany win the match?,team_win,nan,nan,,92,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1
0.25,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q7,Will the match have 2 or fewer total goals?,match_total_under,nan,nan,,25,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1
0.6,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q8,Will the second half have 2 or more total goals?,second_half_goals_over,nan,nan,,60,,Yes,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0,0,1
0.32,Germany vs Curaçao,Germany vs Curaçao,2026-06-14,Q9,Will Curaçao have 3 or more shots on target?,team_sot_over,nan,nan,,32,,No,,raw_paste_collected_in_chat,0,,,,,,,0,0,1,unknown,,,,,0,1,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1
